mission_time,metres
5.67,2135.673
5.74,2180.488
5.81,2230.637
5.88,2291.234
5.95,2348.751
6.02,2390.076
6.09,2420.399
6.16,2462.078
6.23,2505.755
6.3,2550.561
6.37,2597.983
6.44,2658.894
6.51,2717.95
6.58,2753.975
6.65,2779.389
6.72,2818.584
6.79,2859.364
6.86,2903.863
6.93,2957.81
7.0,3019.125
7.07,3053.953
7.14,3076.213
7.21,3112.723
7.28,3149.996
7.35,3194.481
7.42,3260.364
7.49,3303.958
7.56,3317.759
7.63,3351.617
7.7,3386.979
7.77,3436.987
7.84,3504.549
7.91,3522.093
7.98,3542.206
8.05,3575.58
8.12,3617.645
8.19,3684.358
8.26,3709.383
8.33,3724.381
8.4,3757.187
8.47,3798.342
8.54,3865.322
8.61,3884.425
8.68,3902.118
8.75,3932.705
8.82,3979.529
8.89,4039.232
8.96,4046.49
9.03,4071.94
9.1,4103.693
9.17,4162.922
9.24,4195.294
9.31,4207.071
9.38,4234.937
9.45,4277.945
9.52,4335.494
9.59,4342.871
9.66,4369.234
9.73,4400.867
9.8,4458.84
9.87,4482.452
9.94,4499.177
10.01,4526.46
10.08,4571.415
10.15,4619.777
10.22,4628.128
10.29,4653.954
10.36,4686.385
10.43,4747.239
10.5,4770.209
10.57,4784.139
10.64,4810.302
10.71,4853.841
10.78,4911.151
10.85,4918.603
10.92,4942.794
10.99,4972.755
11.06,5028.918
11.13,5071.933
11.2,5083.937
11.27,5116.542
11.34,5156.94
11.41,5228.412
11.48,5278.216
11.55,5306.272
11.62,5356.539
11.69,5414.853
11.76,5487.918
11.83,5496.218
11.9,5491.269
11.97,5516.522
12.04,5528.697
12.11,5568.867
12.18,5615.545
12.25,5606.48
12.32,5619.595
12.39,5637.926
12.46,5673.891
12.6,5728.21
12.67,5730.016
12.74,5750.399
12.81,5791.643
12.88,5866.061
12.95,5853.223
13.02,5874.574
13.09,5903.35
13.16,5972.174
13.23,5954.282
13.3,5940.805
13.37,5951.754
13.44,5978.766
13.51,6050.597
13.58,6044.801
13.65,6023.185
13.72,6037.646
13.79,6063.909
13.86,6141.643
13.93,6139.058
14.0,6109.468
14.07,6124.25
14.14,6144.747
14.21,6215.926
14.28,6244.323
14.35,6206.018
14.42,6215.056
14.49,6229.85
14.56,6274.566
14.63,6338.732
14.7,6320.047
14.77,6302.458
14.84,6315.294
14.91,6336.438
14.98,6403.746
15.05,6440.639
15.12,6405.17
15.19,6403.925
15.26,6417.094
15.33,6441.89
15.4,6515.093
15.47,6544.335
15.54,6506.267
15.61,6505.007
15.68,6519.96
15.75,6541.623
15.82,6614.608
15.89,6651.521
15.96,6613.696
16.03,6604.038
16.1,6616.614
16.17,6635.42
16.24,6695.957
16.31,6754.893
16.38,6733.415
16.45,6699.825
16.52,6715.127
16.59,6728.238
16.73,6840.987
16.8,6860.113
16.87,6814.804
16.94,6808.458
17.01,6821.156
17.08,6838.177
17.15,6890.391
17.22,6963.241
17.29,6958.302
17.36,6909.442
17.43,6914.353
17.5,6926.075
17.57,6943.879
17.64,7004.771
17.71,7068.608
17.78,7056.302
17.85,7010.885
17.92,7016.621
17.99,7029.444
18.06,7046.699
18.13,7099.646
18.2,7167.128
18.27,7161.289
18.34,7113.951
18.41,7114.724
18.48,7126.148
18.55,7142.244
18.62,7190.914
18.69,7256.575
18.76,7251.853
18.83,7204.787
18.9,7206.156
18.97,7214.376
19.04,7228.288
19.11,7287.524
19.18,7345.589
19.25,7323.742
19.32,7280.417
19.39,7291.474
19.46,7300.371
19.53,7319.975
19.6,7397.65
19.67,7435.15
19.74,7386.853
19.81,7371.081
19.88,7382.058
19.95,7396.45
20.02,7457.69
20.09,7518.566
20.16,7481.907
20.23,7451.848
20.3,7461.923
20.37,7472.414
20.44,7524.252
20.51,7595.234
20.58,7566.198
20.65,7523.44
20.72,7535.227
20.79,7542.756
20.86,7578.046
20.93,7659.385
21.0,7655.052
21.07,7603.022
21.14,7609.585
21.21,7615.742
21.28,7634.448
21.35,7714.467
21.42,7750.485
21.49,7696.205
21.56,7679.016
21.63,7688.538
21.77,7743.186
21.84,7816.885
21.91,7804.906
21.98,7751.945
22.05,7757.79
22.12,7764.058
22.19,7778.071
22.26,7843.845
22.33,7898.238
22.4,7867.295
22.47,7822.986
22.54,7833.093
